"state","DIDE_CODE","area","urban_area","population","urban_population","urban_area_prop","urban_pop_prop","pop_density","pop_density_urban","pop_density_rural"
"Abia",102097,4724.00259486642,1756.91677541183,4189697.38235474,3006390.93280029,0.371912745628268,0.717567561194745,886.895656430774,1711.17435662004,398.810995555214
"Adamawa",102098,34290.0541343245,888.566567709669,4671674.17774975,1602595.04083252,0.0259132448210459,0.343045122552715,136.239918416267,1803.57341708602,91.8845045687369
"Akwa Ibom",102099,6735.92312695177,3570.93284152743,6093331.33264923,4608833.39440918,0.530132659507265,0.756373343710061,904.602267248062,1290.65249864453,469.037123139549
"Anambra",102100,4590.22749564205,2253.87906852141,6049549.07496643,5361592.94665527,0.491016854973143,0.886279767337043,1317.91922746963,2378.82902482989,294.457847265104
"Bauchi",102101,49060.4405655576,921.153310177261,7270324.5458498,1512637.70843506,0.0187758874473693,0.208056421538779,148.191179329805,1642.11287276813,119.604737952809
"Bayelsa",102102,9764.05364556343,744.990141251133,2606069.67047596,884168.565246582,0.0762992675270317,0.339272804278138,266.904480974467,1186.81914872284,190.917948898584
"Benue",102103,31324.988065939,993.622478132421,6376133.85316277,1659969.90838623,0.0317198038843893,0.260341132512899,203.547846203198,1670.62435172185,155.488018866927
"Borno",102104,71407.4745624539,743.374412795535,6650824.40555477,1754261.44024658,0.0104103165298945,0.263766013545843,93.1390508669771,2359.86255385023,69.2935020036742
"Cross River",102105,21302.9108204656,866.221274815622,4272476.86736512,1363734.73260498,0.0406621086721842,0.319190665026587,200.558360468776,1574.34915564185,142.329418287771
"Delta",102106,16624.1031079267,2185.05236446738,6302965.02699625,3248816.40826416,0.131438812083973,0.51544255669342,379.14617023705,1486.83686537466,211.520041933198
"Ebonyi",102107,6188.83135133968,1393.5060712882,3191931.5615654,1620065.09521484,0.225164654226125,0.507550072414562,515.756752827729,1162.58201424067,327.791416546758
"Edo",102108,19589.3005220339,1189.46864436222,4705173.8111248,2226679.96893311,0.0607203224548173,0.473240746955701,240.191006607534,1871.99551622231,134.701983076235
"Ekiti",102109,5236.61527920968,1358.33187780018,3592973.12679291,2297624.48718262,0.259391191709845,0.639477225712924,686.125089436619,1691.50450249583,334.000511447801
"Enugu",102110,7702.54606132316,2103.47583601179,4801167.31095886,3075954.25860596,0.273088381330685,0.640667999964293,623.322116185322,1462.31974998011,308.124917696842
"Federal Capital Territory",102111,7351.38279617415,1509.31942452777,4864553.51122093,3613642.26324463,0.205310955282216,0.742851785864651,661.719522176504,2394.21967578219,214.121478730857
"Gombe",102112,18190.428571402,496.802753055087,3691875.26651019,1175899.9710083,0.0273112176057321,0.318510211240111,202.957025010084,2366.93529530001,142.196705261678
"Imo",102113,5310.19841142601,2871.66799127855,6017537.87934494,5333148.76812744,0.540783558124599,0.886267585690379,1133.20396209621,1857.16064124564,280.656376300654
"Jigawa",102114,24000.8131310289,1122.94774369328,6435225.53452301,1807733.01239014,0.0467879041248606,0.280912145610469,268.125313062971,1609.8104498119,202.26941822529
"Kaduna",102115,44314.9922549201,1699.08219606684,9226766.20631263,3742645.91381836,0.038341024326326,0.405629212893438,208.208683716699,2202.74564849312,128.687156625791
"Kano",102116,20083.1240184181,4025.04893288597,14725623.3188915,9606238.27856445,0.200419463087248,0.65234849965506,733.233699368025,2386.61403593838,318.804402959823
"Katsina",102117,23704.9986397065,2086.16023569238,8713109.45406151,3454734.66625977,0.0880050772159932,0.396498481337152,367.564225018213,1656.02555697893,243.2311435764
"Kebbi",102118,35970.6175480433,656.528318961028,4967530.8285954,1013249.62084961,0.0182517944843219,0.203974500775491,138.099681551495,1543.34488183709,111.974605435649
"Kogi",102119,28941.789922709,1234.21494811763,4969542.29257846,1820191.81896973,0.0426447345314055,0.366269509706761,171.708187567181,1474.77700034812,113.663879877499
"Kwara",102120,35421.7175087692,685.510735923539,3524448.26713204,1508809.58056641,0.0193528373025342,0.42809809258292,99.4996435805099,2201.00065760997,58.0270234958793
"Lagos",102121,3784.47923762135,1924.99733115261,13991591.7909212,13552733.7868042,0.508655804480652,0.968634161811255,3697.0983092816,7040.39094884841,236.010903139374
"Nassarawa",102122,26326.6360305529,443.246386274129,2783190.06484783,664407.026245117,0.0168364232239823,0.23872139910123,105.717648909562,1498.95644233005,81.8587931380558
"Niger",102123,71017.7735354085,775.783716457818,6260414.04639283,1682490.20672607,0.0109237966474832,0.268750628034819,88.1527783079749,2168.76195134415,65.1736070043914
"Ogun",102124,16092.677852102,1700.9349375323,5878418.04193926,3502003.1461792,0.105696202531646,0.595739044279319,365.285261779562,2058.8695480968,165.123495456152
"Ondo",102125,14526.9523751725,1599.48444128485,5185181.78160691,2552847.29034424,0.110104611068903,0.492335157737343,356.935277799128,1596.04384040995,203.623362651115
"Osun",102126,9189.9136755028,1762.62357595524,5251772.6248579,3466640.07781982,0.191799796841814,0.660089521281135,571.471377240175,1966.7500906659,240.347761176963
"Oyo",102127,27398.6610252448,1758.12589438437,8737015.71810853,5264813.55792236,0.0641683143845774,0.602587167951454,318.884769954939,2994.56004529522,135.41847478866
"Plateau",102128,27579.6928849635,964.87983127279,4766129.49871349,1631117.3503418,0.0349851550304551,0.342231018016208,172.813001166956,1690.48755863221,117.792003349689
"Rivers",102129,8534.4979683099,3221.28787495542,7762754.14101982,5805341.89959717,0.377443159154368,0.747845647837882,909.573611692721,1802.18040887684,368.404826278354
"Sokoto",102130,31741.3912343114,921.92833261457,5611501.80263847,1871315.91955566,0.0290449881610103,0.333478627535287,176.78814898865,2029.78458667026,121.35791902061
"Taraba",102131,60294.585050259,311.639310924245,3387364.65561956,523661.416687012,0.00516861191870672,0.15459257267099,56.1802465809492,1680.34454682229,47.7419573786392
"Yobe",102132,45566.4861056193,340.940166353549,3723302.63996601,677427.041625977,0.00748225714757285,0.181942513712009,81.7114278098098,1986.93820347203,67.348564513304
"Zamfara",102133,34524.8549071555,723.064246154895,4973927.19491959,1119438.64624023,0.020943295724178,0.225061325260981,144.068011532431,1548.1869725867,114.032081534856
